,Case Number,Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Provoked
0,2018.06.2.a,2010's,Boating,USA,California,Paddling,Undefined,57.0,"No injury to occupant, outrigger canoe and paddle damaged",No,Unknown
1,2018.06.1.a,2010's,Unprovoked,USA,Georgia,Standing,Undefined,11.0,Minor injury to left thigh,No,
2,2018.06.0.a,2010's,Invalid,USA,Hawaii,Surfing,Undefined,48.0,Injury to left lower leg from surfboard skeg,No,Unknown
3,2018.06.0.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,0.0,Minor injury to lower leg,No,
4,2018.06.0.a,2010's,Provoked,MEXICO,Colima,Free diving,Undefined,0.0,Lacerations to leg & hand shark PROVOKED INCIDENT,No,Unknown
5,2018.06.03.b,2010's,Unprovoked,AUSTRALIA,New South Wales,Kite surfing,Undefined,0.0,"No injury, board bitten",No,
6,2018.06.03.a,2010's,Unprovoked,BRAZIL,Pernambuco,Swimming,Undefined,18.0,FATAL,Yes,
7,2018.05.2.a,2010's,Unprovoked,USA,Florida,Fishing,Undefined,52.0,Minor injury to foot. PROVOKED INCIDENT,No,
8,2018.05.26.b,2010's,Unprovoked,USA,Florida,Walking,Undefined,15.0,Lower left leg bitten,No,
9,2018.05.26.a,2010's,Unprovoked,USA,Florida,Standing,Undefined,12.0,Minor injury to foot,No,
10,2018.05.2.a,2010's,Provoked,AUSTRALIA,Queensland,Feeding sharks,Undefined,32.0,Minor bite to hand by captive shark. PROVOKED INCIDENT,No,Unknown
11,2018.05.2.a,2010's,Unprovoked,USA,South Carolina,Boogie boarding,Undefined,10.0,Injuries to lower right leg and foot,No,
12,2018.05.13.b,2010's,Unprovoked,USA,South Carolina,Swimming,Undefined,10.0,Severe bite to right forearm,No,
13,2018.05.13.a,2010's,Invalid,ENGLAND,Cornwall,Fishing,Undefined,21.0,Injured by teeth of a dead porbeagle shark he was tossing overboard.,No,Unknown
14,2018.05.0.a,2010's,Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,Undefined,34.0,Shallow lacerations to finger PROVOKED INCIDENT,No,Unknown
15,2018.05.1.a,2010's,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,Undefined,0.0,"Minor injury, marks on board",No,
16,2018.05.0.a,2010's,Questionable,AUSTRALIA,New South Wales,Surfing,Undefined,0.0,"No injury, surfboard damaged",No,Unknown
17,2018.04.3.a,2010's,Unprovoked,THAILAND,Hua Hin,Swimming,Undefined,0.0,Minor injury to ankle,No,
18,2018.04.28.b,2010's,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,Undefined,30.0,"No injury, shark bit scuba gear",No,
19,2018.04.28.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,0.0,"No injury, knocked off board by shark",No,
20,2018.04.25.b,2010's,Questionable,AUSTRALIA,New South Wales,Surfing,Undefined,0.0,No injury,No,Unknown
21,2018.04.25.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,60.0,"No injury, knocked off board by shark",No,
22,2018.04.2.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,0.0,"No injury, shark struck his leg",No,
23,2018.04.2.a,2010's,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,Undefined,32.0,5-inch cut to hand,No,
24,2018.04.2.a,2010's,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,Undefined,33.0,"No injury, shark bit hole in ski",No,
25,2018.04.1.a,2010's,Unprovoked,USA,Hawaii,Body boarding,Undefined,29.0,Lacerations to right lower leg,No,
26,2018.04.15.d,2010's,Unprovoked,THAILAND,Hua Hin,Swimming,Undefined,54.0,Lacerations to foot and ankle,No,
27,2018.04.15.c,2010's,Unprovoked,BRAZIL,Pernambuco,Swimming,Undefined,34.0,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",Unknown,
28,2018.04.15.b,2010's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,41.0,Laceration to right thigh,No,
29,2018.04.15.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,37.0,Lacerations to legs,No,
30,2018.04.1.a,2010's,Unprovoked,BAHAMAS,New Providence,Surfing,Undefined,0.0,No Injury. Shark swam away with the surf board,No,
31,2018.04.1.a,2010's,Invalid,BRAZIL,Alagoas,Fishing,Undefined,56.0,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,No,Unknown
32,2018.04.0.a,2010's,Unprovoked,NEW CALEDONIA,,Windsurfing,Unknown,0.0,"No injury, shark bit board",No,
33,2018.04.0.a,2010's,Unprovoked,BAHAMAS,,Swimming,Undefined,12.0,"2 puncture wounds to left foot, abrasion to right foot",No,
34,2018.04.0.a,2010's,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,Undefined,19.0,Lacerations to left knee & lower leg,No,
35,2018.03.3.a,2010's,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,Undefined,25.0,Injuries to right leg & hand,No,
36,2018.03.1.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Wading,Undefined,10.0,Minor injuries to legs,No,
37,2018.03.09.b,2010's,Unprovoked,AUSTRALIA,Victoria,Swimming,Undefined,69.0,"No injury, said to have been charged by sharks several times",No,
38,2018.03.09.a,2010's,Unprovoked,AUSTRALIA,Victoria,Surfing,Undefined,18.0,"Minor injury, ankle grazed",No,
39,2018.02.2.a,2010's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,Undefined,38.0, The shark & man simply collided; neither were injured,No,
40,2018.02.2.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Swimming,Undefined,55.0,Laceratons to right leg & foot,No,
41,2018.02.1.a,2010's,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,Undefined,34.0,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",No,Unknown
42,2018.02.1.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Walking,Undefined,35.0,Puncture wounds to leff foot & lower leg,No,
43,2018.02.1.a,2010's,Invalid,AUSTRALIA,Queensland,Swimming,Undefined,0.0,"Collision / No injury, no attack",No,Unknown
44,2018.02.1.a,2010's,Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,Undefined,46.0,Lacerations to 4 toes of right foot,No,Unknown
45,2018.02.0.a,2010's,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,Undefined,45.0,Injuries to right foot,No,
46,2018.02.0.a,2010's,Invalid,AUSTRALIA,Western Australia,Spearfishing,Undefined,14.0,"No injury no attack. This is considerd an ""encounter""",No,Unknown
47,2018.01.2.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Unknown,Undefined,18.0,Injuries to right leg,No,
48,2018.01.2.a,2010's,Unprovoked,NEW CALEDONIA,,Spearfishing,Undefined,0.0,Injuries to abdomen and arm,No,
49,2018.01.1.a,2010's,Unprovoked,AUSTRALIA,Queensland,Diving,Undefined,0.0,Severe laceration to left forearm,No,
50,2018.01.1.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Free diving,Undefined,28.0,"No injury, shark took his swimfin",No,
51,2018.01.1.a,2010's,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,Undefined,20.0,Minor injury to left forearm,No,
52,2018.01.0.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,0.0,Foot bitten,No,
53,2017.12.3.a,2010's,Unprovoked,USA,Hawaii,Surfing,Undefined,54.0,Severe lacerations to left thigh & knee,No,
54,2017.12.3.a,2010's,Unprovoked,USA,California,Surfing,Undefined,35.0,Foot bitten,No,
55,2017.12.2.a,2010's,Provoked,MALAYSIA,Sepang,Fishing / Wading,Undefined,24.0,"Minor injury to thigh, PROVOKED INCIDENT",No,Unknown
56,2017.12.0.a,2010's,Unprovoked,BAHAMAS,,Snorkeling,Undefined,25.0,Minor injury to arm,No,
57,2017.11.30.b,2010's,Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,Undefined,26.0,Serious injury to leg,No,
58,2017.11.30.a,2010's,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,Undefined,49.0,FATAL,Yes,
59,2017.11.2.a,2010's,Sea Disaster,LIBYA,,Unknown,Unknown,0.0,FATAL,Yes,Unknown
60,2017.11.2.a,2010's,Unprovoked,USA,California,Spearfishing,Undefined,25.0,Right leg bitten,No,
61,2017.11.1.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,14.0,Heel bitten,No,
62,2017.11.1.a,2010's,Unprovoked,,,Surfing,Undefined,24.0,Puncture wounds to feet,No,
63,2017.11.1.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,25.0,Puncture wounds to left shoulder,No,
64,2017.11.0.a,2010's,Unprovoked,CUBA,Holquin Province,Night bathing,Undefined,22.0,FATAL,Yes,
65,2017.10.3.a,2010's,Unprovoked,AUSTRALIA,Queensland,Snorkeling,Undefined,7.0,Calf injured,No,
66,2017.10.2.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,31.0,Minor injury to foot,No,
67,2017.10.2.a,2010's,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,Undefined,0.0,No injury but shark bit SUP,No,
68,2017.10.23.c,2010's,Unprovoked,MAURITIUS,Pamplemousses ,Swimming,Undefined,0.0,Minor injury to foot,No,
69,2017.10.23.b,2010's,Unprovoked,USA,Florida,Surfing ,Undefined,17.0,Lacerations to left foot,No,
70,2017.10.23.a,2010's,Unprovoked,USA,Florida,Swimming,Undefined,60.0,Severe lacerations to left hand & wrist,No,
71,2017.10.2.a,2010's,Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,Undefined,15.0,Minor injuries,No,
72,2017.10.2.a,2010's,Unprovoked,NEW ZEALAND,North Island,Kayaking,Undefined,0.0,"No injury, shark shook kayak x3 ",No,
73,2017.10.1.a,2010's,Unprovoked,USA,Florida,Swimming,Undefined,0.0,Puncture wounds & lacerations to foot,No,
74,2017.10.0.a,2010's,Unprovoked,USA,Hawaii,Surfing,Undefined,54.0,Lacerations to left hand,No,
75,2017.10.0.a,2010's,Unprovoked,USA,Hawaii,Snorkeling,Undefined,40.0,Abrasions,No,
76,2017.10.0.a,2010's,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,Undefined,31.0,FATAL,Unknown,Unknown
77,2017.09.25.b,2010's,Unprovoked,USA,Florida,Surfing,Undefined,0.0,Lacerations to lower left leg and foot,No,
78,2017.09.25.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,0.0,"No injury, board damaged by shark",No,
79,2017.09.24.b,2010's,Invalid,USA,New York,Surfing,Undefined,33.0,"Lacerations to right ankle, foot & toe",Unknown,Unknown
80,2017.09.24.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,0.0,Laceration to upper arm,No,
81,2017.09.2.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,0.0,Minor lacerations to sole of left foot,No,
82,2017.09.16.b,2010's,Unprovoked,SPAIN,Canary Islands,Body surfing,Undefined,13.0,Lacerations to right foot,No,
83,2017.09.16.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,28.0,Lacerations to left foot,No,
84,2017.09.15.b,2010's,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,Undefined,25.0,"FATAL, but death was probably due to drowning",Unknown,Unknown
85,2017.09.15.a,2010's,,SAMOA, Upolu Island,Fishing,Undefined,0.0,Injuries to hands and legs,No,Unknown
86,2017.09.1.a,2010's,Boating,AUSTRALIA,Westerm Australia,Fishing,Unknown,0.0,"sharks rammed boats, no injury to occupants",No,Unknown
87,2017.09.1.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,18.0,Lacerations to left foot,No,
88,2017.09.10.b,2010's,Unprovoked,AUSTRALIA,Westerm Australia,Swimming,Undefined,0.0,Minor injuries,No,
89,2017.09.10.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,35.0,Minor lacerations to right hip,No,
90,2017.09.0.a,2010's,Unprovoked,SOLOMON ISLANDS,,Spearfishing,Undefined,0.0,Foot bitten,No,
91,2017.09.03.b,2010's,Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching abalone",Undefined,0.0,FATAL,Yes,
92,2017.09.03.a,2010's,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,Undefined,42.0,Injury to ankle & feet,No,
93,2017.09.02.c,2010's,Unprovoked,USA,Florida,Swimming,Undefined,0.0,Lacerations to abdomen,No,
94,2017.09.02.b,2010's,Unprovoked,USA,Texas,Swimming,Undefined,0.0,Lacerations to foot,No,
95,2017.09.02.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,17.0,Minor injury to right hand,No,
96,2017.08.2.a,2010's,Unprovoked,AUSTRALIA,Victoria,Surfing,Undefined,37.0,"No injury, board bitten",No,
97,2017.08.2.a,2010's,Unprovoked,USA,Florida,Wading,Undefined,3.0,Leg injured,No,
98,2017.08.26.b,2010's,Invalid,SPAIN,Castell�n,Swimming,Undefined,11.0,Lacerations to left foot,Unknown,Unknown
99,2017.08.26.a,2010's,Unprovoked,NEW ZEALAND,North Island,Canoeing,Undefined,0.0,"No injury, shark bit canoe",No,
100,2017.08.2.a,2010's,Unprovoked,USA,Massachusetts,Unknown,Undefined,69.0,Not injured by shark but board bitten,No,
101,2017.08.1.a,2010's,Unprovoked,BAHAMAS,,Spearfishing,Undefined,0.0,Hand injured,No,
102,2017.08.1.a,2010's,Unprovoked,USA,South Carolina,Swimming,Undefined,13.0,Minor cuts to sole & toes of left foot,No,
103,2017.08.0.a,2010's,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,Undefined,20.0,Bite to right leg/hip,No,
104,2017.08.0.a,2010's,Provoked,USA,Massachusetts,Fishing,Undefined,34.0,Foot bitten by landed shark PROVOKED INCIDENT,No,Unknown
105,2017.08.0.a,2010's,Boating,USA,California,Kayaking / Fishing,Undefined,0.0,"No injury, bow of kayak bitten",No,Unknown
106,2017.07.3.a,2010's,Unprovoked,USA,Florida,Skimboarding,Undefined,15.0,Lacerations to lower leg,No,
107,2017.07.29.c,2010's,Invalid,USA,South Carolina,Swimming,Undefined,10.0,Abrasions and cuts to sole of foot,Unknown,Unknown
108,2017.07.29.a,2010's,Unprovoked,USA,South Carolina,Unknown,Undefined,12.0,Bite to left thigh / minor injury,No,
109,2017.07.2.a,2010's,Unprovoked,BAHAMAS,New Providence District,Snorkeling,Undefined,0.0,Foot & ankle injured,No,
110,2017.07.2.a,2010's,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,Undefined,0.0,Severe lacerations to left hand,No,
111,2017.07.2.a,2010's,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",Ascension Island,Surfing,Undefined,37.0,Torso bitten,No,
112,2017.07.23.b,2010's,Unprovoked,USA,New Jersey,Unknown,Undefined,0.0,Minor injury to hand,No,
113,2017.07.23.a,2010's,Unprovoked,SPAIN,Majorca,Swimming,Undefined,0.0,Abrasion to arm from shark's rough skin,No,
114,2017.07.2.a,2010's,Unprovoked,USA,Florida,Unknown,Undefined,40.0,Foot bitten,No,
115,2017.07.20.c,2010's,Invalid,USA,South Carolina,Swimming,Undefined,8.0,Foot injured,Unknown,Unknown
116,2017.07.20.b,2010's,Boating,USA,California,Kayaking,Undefined,40.0,"No injury, kayak bitten",No,Unknown
117,2017.07.20.a,2010's,Unprovoked,USA,California,Unknown,Undefined,50.0,"No injury, shark bit paddleboard",No,
118,2017.07.14.b,2010's,Unprovoked,USA,Washington,Surfing,Undefined,0.0,Pulled off board by shark but no injury,No,
119,2017.07.14.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,0.0,"Minor injury, grazed by shark",No,
120,2017.07.1.a,2010's,Boating,USA,California,Kayaking,Undefined,0.0,"No injury, kayak bitten",No,Unknown
121,2017.07.0.a,2010's,Unprovoked,USA,Florida,Swimming,Undefined,46.0,Lower legs bitten,No,
122,2017.07.0.a,2010's,Provoked,MEXICO,Tabasco,Fishing,Undefined,32.0,Hand bitten by hooked shark PROVOKED INCIDENT,No,Unknown
123,2017.07.0.a,2010's,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,Undefined,13.0,"No injury, shark bit surfboard",No,
124,2017.07.0.a,2010's,Invalid,COMOROS,Anjouan,Fishing,Unknown,0.0,"Skull found in shark, a probable drowning & scavenging",Unknown,Unknown
125,2017.06.2.a,2010's,Invalid,USA,South Carolina,Fishing,Undefined,0.0,"Arm injured by hook, not by a shark",Unknown,Unknown
126,2017.06.2.a,2010's,Unprovoked,USA,South Carolina,Swimming,Undefined,16.0,Left foot bitten,No,
127,2017.06.1.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,0.0,1 to 2-inch laceration behind knee,No,
128,2017.06.18.b,2010's,Unprovoked,USA,South Carolina,Swimming,Undefined,14.0,Leg bitten,No,
129,2017.06.18.a,2010's,Unprovoked,REUNION,,Body boarding,Undefined,34.0,"No injury, shark bit surfboard ",No,
130,2017.06.1.a,2010's,Unprovoked,SPAIN,Ibiza Island,Swimming,Undefined,82.0,2-inch laceration to hand,No,
131,2017.06.0.a,2010's,Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,Undefined,0.0,Injuries to hand and wrist,No,
132,2017.06.1.a,2010's,Unprovoked,BAHAMAS,,Feeding sharks,Undefined,0.0,Fingernail pulled off ,No,
133,2017.06.1.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Body boarding,Undefined,48.0,"No injury, board bitten",No,
134,2017.06.10.b,2010's,Unprovoked,AUSTRALIA,Victoria,Surfing,Undefined,0.0,"No injury, knocked off board",No,
135,2017.06.10.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,19.0,Laceration to left foot,No,
136,2017.06.0.a,2010's,Unprovoked,UNITED KINGDOM,South Devon,Surfing ,Undefined,30.0,"Bruise to leg, cuts to hand sustained when he hit the shark",No,
137,2017.06.0.a,2010's,Unprovoked,USA,Florida,Spearfishing,Undefined,0.0,Laceration to shin,No,
138,2017.06.0.a,2010's,Unprovoked,BAHAMAS,New Providence ,Snorkeling,Undefined,32.0,Right forearm severed ,No,
139,2017.05.3.a,2010's,Provoked,USA,South Carolina,Touching a shark,Undefined,20.0,Right hand bitten by hooked shark PROVOKED INCIDENT,No,Unknown
140,2017.05.2.a,2010's,Unprovoked,USA,Florida,Feeding sharks,Undefined,0.0,Lacerations to right arm,No,
141,2017.05.2.a,2010's,Invalid,AUSTRALIA,New South Wales,Fishing ,Undefined,73.0,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,No,Unknown
142,2017.05.1.a,2010's,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,Undefined,41.0,Right leg severely bitten,No,
143,2017.05.0.a,2010's,Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,Undefined,29.0,Thigh nipped PROVOKED INCIDENT,No,Unknown
144,2017.05.0.a,2010's,Unprovoked,MEXICO,Baja California Sur,Snorkeling,Undefined,33.0,FATAL,Yes,
145,2017.05.0.a,2010's,Invalid,USA,California,Surfing,Undefined,18.0,"Laceration to thigh, likely caused by surfboard fin",Unknown,Unknown
146,2017.04.29.d,2010's,Unprovoked,USA,California,Swimming,Undefined,0.0,Major injury to posterior thigh,No,
147,2017.04.29.c,2010's,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,Undefined,14.0,Minor injury to right calf,No,
148,2017.04.29.b,2010's,Unprovoked,USA,South Carolina,Surfing,Undefined,33.0,Left foot bitten,No,
149,2017.04.29.a,2010's,Unprovoked,REUNION,Saint-Leu,Body boarding,Undefined,28.0,FATAL,Yes,
150,2017.04.2.a,2010's,Unprovoked,NEW ZEALAND,South Island,Body boarding,Undefined,0.0,Puncture wounds & laceration above knee,No,
151,2017.04.2.a,2010's,Invalid,USA,Florida,Unknown,Undefined,0.0,Alleged laceration to left ankle,Unknown,Unknown
152,2017.04.2.a,2010's,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",Ascension Island,Snorkeling,Undefined,40.0,Calf & foot bitten,No,
153,2017.04.2.a,2010's,Invalid,USA,South Carolina,Swimming,Undefined,0.0,Laceration & puncture wounds to left foot,Unknown,Unknown
154,2017.04.17.b,2010's,Unprovoked,USA,Florida,Unknown,Unknown,0.0,Minor bite to the foot,No,
155,2017.04.17.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,17.0,FATAL,Yes,
156,2017.04.1.a,2010's,Unprovoked,USA,Hawaii,Surfing,Undefined,28.0,Lower right leg severely injured,No,
157,2017.04.1.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,17.0,Lacerations to right foot,No,
158,2017.04.12.b,2010's,Unprovoked,USA,Florida,Surfing,Undefined,0.0,Lacerations to right foot,No,
159,2017.04.12.a,2010's,Invalid,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,Undefined,68.0,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",Unknown,Unknown
160,2017.04.1.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,35.0,Calf bitten,No,
161,2017.04.10.b,2010's,Unprovoked,USA,Florida,Paddle boarding,Undefined,10.0,Laceration to calf,No,
162,2017.04.10.a,2010's,Unprovoked,USA,Florida,Swimming,Undefined,21.0,Minor injury to left hand,No,
163,2017.04.0.a,2010's,Unprovoked,USA,Florida,Swimming,Undefined,16.0,Foot injured,No,
164,2017.04.0.a,2010's,Unprovoked,USA,Florida,Swimming,Undefined,51.0,"Thigh nipped, minor injury",No,
165,2017.04.02.b,2010's,Unprovoked,AUSTRALIA,Queensland,Kakaying,Undefined,39.0,"No injury, shark bit off stern of kayak",No,
166,2017.04.02.a,2010's,Unprovoked,USA,Florida,Swimming,Undefined,17.0,Lacerations to thighs,No,
167,2017.03.2.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,58.0,Minor injury to left foot,No,
168,2017.03.1.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Body boarding,Undefined,30.0,Minor,No,
169,2017.03.1.a,2010's,Boating,USA,California,Kayaking,Undefined,0.0,"No injury, kayak bitten",No,Unknown
170,2017.03.1.a,2010's,Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,Undefined,25.0,Right thigh injured ,No,
171,2017.03.0.a,2010's,Unprovoked,BAHAMAS,Great Exuma,Washing hands,Undefined,58.0,Abrasions & lacerations to left leg and hand,No,
172,2017.02.2.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,Undefined,0.0,Hand bitten,No,
173,2017.02.2.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Surfing,Undefined,0.0,"No injury, shark struck board",No,
174,2017.02.2.a,2010's,Unprovoked,REUNION,Saint-Andre,Body boarding,Undefined,26.0,Fatal,Yes,
175,2017.02.1.a,2010's,Unprovoked,AUSTRALIA,Queensland,Spearfishing,Undefined,26.0,Left leg severely bitten,No,
176,2017.02.1.a,2010's,Unprovoked,USA,Florida,Swimming,Undefined,22.0,Injury to hand,No,
177,2017.02.06.b,2010's,Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,Undefined,0.0,"Minor injury to finger, PROVOKED INCIDENT",No,Unknown
178,2017.02.06.a,2010's,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,Undefined,0.0,"Shark damaged kayak, no injury to occupant",No,Unknown
179,2017.02.01.b,2010's,Boating,USA,South Carolina,Tagging sharks,Unknown,0.0,"Shark bit boat, no injury to occupants",No,Unknown
180,2017.02.01.a,2010's,Unprovoked,BAHAMAS,Bimini,Scuba Diving,Undefined,37.0,Lacerations to upper right arm,No,
181,2017.01.2.a,2010's,Unprovoked,BRAZIL,Pernambuco,Swimming,Undefined,21.0,Minor laceration to ring finger,No,
182,2017.01.2.a,2010's,Unprovoked,USA,Florida,Unknown,Undefined,0.0,Puncture wounds to lower arm or hand,No,
183,2017.01.2.a,2010's,Unprovoked,AUSTRALIA,Queensland,Scuba Diving,Undefined,55.0,"Multiple injuries to arm, wrist and torso",No,
184,2017.01.13.b,2010's,Unprovoked,AUSTRALIA,Queensland,Swimming,Undefined,57.0,Injury to hand,No,
185,2017.01.13.a,2010's,Unprovoked,USA,Florida,Unknown,Undefined,0.0,Minor injury to hand,No,
186,2017.01.0.a,2010's,Unprovoked,INDONESIA,Bali,Surfing,Undefined,48.0,Injury to right wrist & forearm,No,
187,2017.01.0.a,2010's,Invalid,AUSTRALIA,Queensland,Spearfishing,Undefined,35.0,"No attack, shark made a threat display",Unknown,Unknown
188,2017.01.0.a,2010's,Unprovoked,USA,Florida,Wading,Undefined,47.0,Minor injuries to foot,No,
189,2017.01.0.a,2010's,Invalid,AUSTRALIA,New South Wales,Wading,Undefined,20.0,Minor injuries to foot & toes,Unknown,Unknown
190,2016.12.2.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,16.0,Lacerations to right forearm,No,
191,2016.12.2.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,Undefined,0.0,Buttock bitten,No,
192,2016.12.1.a,2010's,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,Undefined,55.0,"No injury, but ski severely damaged",No,
193,2016.12.1.a,2010's,Unprovoked,AUSTRALIA,Western Australia,Free diving,Undefined,61.0,Punctures to left foot/ankle,No,
194,2016.12.11.b,2010's,Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing,Undefined,0.0,Hand injured?,No,
195,2016.12.11.a,2010's,Invalid,USA,Florida,Surfing,Undefined,19.0,Cuts to right ankle & foot,Unknown,Unknown
196,2016.12.0.a,2010's,Provoked,AUSTRALIA,New South Wales,Surf fishing,Undefined,20.0,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,No,Unknown
197,2016.12.0.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,65.0,Injuries to foot & arm,No,
198,2016.11.2.a,2010's,Provoked,AUSTRALIA,Victoria,Fishing,Undefined,73.0,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,No,Unknown
199,2016.11.1.a,2010's,Unprovoked,USA,Hawaii,Floating,Undefined,58.0,Injuries to right calf and thigh,No,
200,2016.10.3.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,41.0,Lacerations to right foot and ankle,No,
201,2016.10.2.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,42.0,Lacerations to right hand,No,
202,2016.10.2.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,36.0,Lacerations to left thigh,No,
203,2016.10.2.a,2010's,Unprovoked,USA,Hawaii,Surfing,Undefined,36.0,Left arm and leg injured,No,
204,2016.10.1.a,2010's,Unprovoked,AUSTRALIA,Queensland,Surfing,Undefined,0.0,Torso nipped,No,
205,2016.10.1.a,2010's,Unprovoked,USA,Hawaii,Snorkeling,Undefined,66.0,Injuries to left calf,No,
206,2016.10.1.a,2010's,Invalid,MEXICO,,Cage Diving,Undefined,0.0,"Shark breached cage, no injury to diver",Unknown,Unknown
207,2016.10.1.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,25.0,Minor wound to lower right leg & surfboard bitten,No,
208,2016.10.1.a,2010's,Unprovoked,USA,Oregon,Surfing,Undefined,29.0,Wounds to upper thigh and lower leg,No,
209,2016.10.0.a,2010's,Unprovoked,USA,Florida,Surfing,Undefined,21.0,Cuts to dorsal surface of left foot,No,
210,2016.10.0.a,2010's,Unprovoked,USA,Florida,Unknown,Undefined,32.0,Minor injuries,No,
211,2016.09.2.a,2010's,Unprovoked,AUSTRALIA,New South Wales,Surfing,Undefined,17.0,4 deep lacerations to thigh,No,
